
[Batch3000]-[Total_loss:0.497383]-[Dloss:-,Dloss2:-]-[mse:0.014386, loss_GAN1:0.746130, loss_GAN2:0.637682]
[Batch4000]-[Total_loss:0.519574]-[Dloss:-,Dloss2:-]-[mse:0.010537, loss_GAN1:0.745106, loss_GAN2:0.638988]
[Batch5000]-[Total_loss:0.382579]-[Dloss:-,Dloss2:-]-[mse:0.010012, loss_GAN1:0.746320, loss_GAN2:0.639535]
[Batch6000]-[Total_loss:0.464367]-[Dloss:-,Dloss2:-]-[mse:0.016991, loss_GAN1:0.743821, loss_GAN2:0.642881]
[Batch7000]-[Total_loss:0.492984]-[Dloss:-,Dloss2:-]-[mse:0.010581, loss_GAN1:0.741934, loss_GAN2:0.642575]
[Batch8000]-[Total_loss:0.502311]-[Dloss:-,Dloss2:-]-[mse:0.009049, loss_GAN1:0.749511, loss_GAN2:0.638719]
[Batch9000]-[Total_loss:0.491063]-[Dloss:-,Dloss2:-]-[mse:0.013492, loss_GAN1:0.746070, loss_GAN2:0.638512]
[Batch10000]-[Total_loss:0.512491]-[Dloss:-,Dloss2:-]-[mse:0.009437, loss_GAN1:0.747857, loss_GAN2:0.638318]
[Batch11000]-[Total_loss:0.458874]-[Dloss:-,Dloss2:-]-[mse:0.016893, loss_GAN1:0.746723, loss_GAN2:0.638097]
[Batch12000]-[Total_loss:0.447809]-[Dloss:-,Dloss2:-]-[mse:0.009669, loss_GAN1:0.746051, loss_GAN2:0.637800]
[Batch13000]-[Total_loss:0.414772]-[Dloss:-,Dloss2:-]-[mse:0.009441, loss_GAN1:0.743725, loss_GAN2:0.638201]
[Batch14000]-[Total_loss:0.487789]-[Dloss:-,Dloss2:-]-[mse:0.006338, loss_GAN1:0.746400, loss_GAN2:0.637806]
[Batch15000]-[Total_loss:0.406234]-[Dloss:-,Dloss2:-]-[mse:0.009813, loss_GAN1:0.746832, loss_GAN2:0.638556]
[Batch16000]-[Total_loss:0.465463]-[Dloss:-,Dloss2:-]-[mse:0.006153, loss_GAN1:0.742786, loss_GAN2:0.641708]
[Batch17000]-[Total_loss:0.455668]-[Dloss:-,Dloss2:-]-[mse:0.011530, loss_GAN1:0.745868, loss_GAN2:0.641111]
[Batch18000]-[Total_loss:0.412482]-[Dloss:-,Dloss2:-]-[mse:0.008975, loss_GAN1:0.745611, loss_GAN2:0.638082]
[Batch19000]-[Total_loss:0.382729]-[Dloss:-,Dloss2:-]-[mse:0.008388, loss_GAN1:0.744319, loss_GAN2:0.640184]
[Batch20000]-[Total_loss:0.486183]-[Dloss:-,Dloss2:-]-[mse:0.007389, loss_GAN1:0.753517, loss_GAN2:0.638259]
[Batch21000]-[Total_loss:0.490696]-[Dloss:-,Dloss2:-]-[mse:0.007307, loss_GAN1:0.749457, loss_GAN2:0.640133]
[Batch22000]-[Total_loss:0.476626]-[Dloss:-,Dloss2:-]-[mse:0.008466, loss_GAN1:0.743526, loss_GAN2:0.638346]
[Batch23000]-[Total_loss:0.511295]-[Dloss:-,Dloss2:-]-[mse:0.011110, loss_GAN1:0.743364, loss_GAN2:0.637793]
[Batch24000]-[Total_loss:0.468031]-[Dloss:-,Dloss2:-]-[mse:0.009923, loss_GAN1:0.746204, loss_GAN2:0.638625]
[Batch25000]-[Total_loss:0.361364]-[Dloss:-,Dloss2:-]-[mse:0.007323, loss_GAN1:0.748595, loss_GAN2:0.639423]
[Batch26000]-[Total_loss:0.421742]-[Dloss:-,Dloss2:-]-[mse:0.007761, loss_GAN1:0.747349, loss_GAN2:0.643326]
[Batch27000]-[Total_loss:0.390686]-[Dloss:-,Dloss2:-]-[mse:0.007289, loss_GAN1:0.748337, loss_GAN2:0.641219]
[Batch28000]-[Total_loss:0.444553]-[Dloss:-,Dloss2:-]-[mse:0.007709, loss_GAN1:0.743228, loss_GAN2:0.638546]
[Batch29000]-[Total_loss:0.472881]-[Dloss:-,Dloss2:-]-[mse:0.005547, loss_GAN1:0.752657, loss_GAN2:0.640172]
[Batch30000]-[Total_loss:0.393541]-[Dloss:-,Dloss2:-]-[mse:0.007210, loss_GAN1:0.743441, loss_GAN2:0.637238]
[Batch31000]-[Total_loss:0.554734]-[Dloss:-,Dloss2:-]-[mse:0.007277, loss_GAN1:0.744980, loss_GAN2:0.636565]
[Batch32000]-[Total_loss:0.385715]-[Dloss:-,Dloss2:-]-[mse:0.009671, loss_GAN1:0.747518, loss_GAN2:0.638084]
[Batch33000]-[Total_loss:0.390654]-[Dloss:-,Dloss2:-]-[mse:0.006434, loss_GAN1:0.744682, loss_GAN2:0.638130]
[Batch34000]-[Total_loss:0.476701]-[Dloss:-,Dloss2:-]-[mse:0.011282, loss_GAN1:0.752410, loss_GAN2:0.638137]
[Batch35000]-[Total_loss:0.447437]-[Dloss:-,Dloss2:-]-[mse:0.006491, loss_GAN1:0.743339, loss_GAN2:0.638455]
[Batch36000]-[Total_loss:0.407312]-[Dloss:-,Dloss2:-]-[mse:0.005080, loss_GAN1:0.747689, loss_GAN2:0.637714]
[Batch37000]-[Total_loss:0.395335]-[Dloss:-,Dloss2:-]-[mse:0.005580, loss_GAN1:0.744498, loss_GAN2:0.641731]
[Batch38000]-[Total_loss:0.441228]-[Dloss:-,Dloss2:-]-[mse:0.005621, loss_GAN1:0.743117, loss_GAN2:0.637756]
[Batch39000]-[Total_loss:0.396287]-[Dloss:-,Dloss2:-]-[mse:0.008112, loss_GAN1:0.745172, loss_GAN2:0.636708]
[Batch40000]-[Total_loss:0.437014]-[Dloss:-,Dloss2:-]-[mse:0.005614, loss_GAN1:0.747266, loss_GAN2:0.641438]
